<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURUSD,20090319,00:00:00,1.3489,1.3416,1.3735,1.3653
EURUSD,20090320,00:00:00,1.3652,1.3516,1.3723,1.3578
EURUSD,20090323,00:00:00,1.3653,1.3484,1.3734,1.3620
EURUSD,20090324,00:00:00,1.3620,1.3430,1.3676,1.3492
EURUSD,20090325,00:00:00,1.3492,1.3417,1.3648,1.3578
EURUSD,20090326,00:00:00,1.3578,1.3493,1.3637,1.3533
EURUSD,20090327,00:00:00,1.3533,1.3255,1.3588,1.3285
EURUSD,20090330,00:00:00,1.3228,1.3112,1.3283,1.3200
EURUSD,20090331,00:00:00,1.3199,1.3173,1.3339,1.3242
EURUSD,20090401,00:00:00,1.3241,1.3165,1.3283,1.3232
EURUSD,20090402,00:00:00,1.3232,1.3232,1.3514,1.3464
EURUSD,20090403,00:00:00,1.3464,1.3364,1.3492,1.3484
EURUSD,20090406,00:00:00,1.3513,1.3357,1.3580,1.3397
EURUSD,20090407,00:00:00,1.3397,1.3226,1.3406,1.3264
EURUSD,20090408,00:00:00,1.3265,1.3146,1.3306,1.3265
EURUSD,20090409,00:00:00,1.3265,1.3124,1.3333,1.3156
EURUSD,20090410,00:00:00,1.3154,1.3089,1.3174,1.3174
EURUSD,20090413,00:00:00,1.3188,1.3124,1.3390,1.3365
EURUSD,20090414,00:00:00,1.3365,1.3225,1.3379,1.3261
EURUSD,20090415,00:00:00,1.3261,1.3145,1.3294,1.3212
EURUSD,20090416,00:00:00,1.3211,1.3125,1.3266,1.3177
EURUSD,20090417,00:00:00,1.3177,1.3015,1.3194,1.3023
EURUSD,20090420,00:00:00,1.3042,1.2887,1.3046,1.2924
EURUSD,20090421,00:00:00,1.2923,1.2895,1.2991,1.2943
EURUSD,20090422,00:00:00,1.2944,1.2885,1.3035,1.3001
EURUSD,20090423,00:00:00,1.3002,1.2978,1.3159,1.3131
EURUSD,20090424,00:00:00,1.3131,1.3111,1.3298,1.3240
EURUSD,20090427,00:00:00,1.3243,1.2998,1.3244,1.3016
EURUSD,20090428,00:00:00,1.3017,1.2963,1.3164,1.3133
EURUSD,20090429,00:00:00,1.3134,1.3119,1.3337,1.3251
EURUSD,20090430,00:00:00,1.3251,1.3190,1.3383,1.3223
EURUSD,20090501,00:00:00,1.3223,1.3217,1.3326,1.3264
EURUSD,20090504,00:00:00,1.3279,1.3211,1.3422,1.3413
EURUSD,20090505,00:00:00,1.3413,1.3281,1.3434,1.3307
EURUSD,20090506,00:00:00,1.3308,1.3244,1.3371,1.3310
EURUSD,20090507,00:00:00,1.3311,1.3250,1.3466,1.3387
EURUSD,20090508,00:00:00,1.3387,1.3340,1.3628,1.3623
EURUSD,20090511,00:00:00,1.3652,1.3556,1.3665,1.3575
EURUSD,20090512,00:00:00,1.3575,1.3562,1.3704,1.3643
EURUSD,20090513,00:00:00,1.3644,1.3564,1.3719,1.3589
EURUSD,20090514,00:00:00,1.3588,1.3524,1.3662,1.3633
EURUSD,20090515,00:00:00,1.3633,1.3460,1.3647,1.3487
EURUSD,20090518,00:00:00,1.3482,1.3422,1.3561,1.3553
EURUSD,20090519,00:00:00,1.3554,1.3529,1.3665,1.3626
EURUSD,20090520,00:00:00,1.3626,1.3582,1.3827,1.3763
EURUSD,20090521,00:00:00,1.3763,1.3727,1.3921,1.3902
EURUSD,20090522,00:00:00,1.3903,1.3896,1.4048,1.3999
EURUSD,20090525,00:00:00,1.4028,1.3957,1.4034,1.4012
EURUSD,20090526,00:00:00,1.4012,1.3858,1.4020,1.3987
EURUSD,20090527,00:00:00,1.3987,1.3822,1.3998,1.3834
EURUSD,20090528,00:00:00,1.3833,1.3792,1.3980,1.3931
EURUSD,20090529,00:00:00,1.3930,1.3923,1.4165,1.4135
EURUSD,20090601,00:00:00,1.4132,1.4098,1.4243,1.4149
EURUSD,20090602,00:00:00,1.4149,1.4100,1.4329,1.4305
EURUSD,20090603,00:00:00,1.4305,1.4107,1.4335,1.4141
EURUSD,20090604,00:00:00,1.4142,1.4069,1.4238,1.4175
EURUSD,20090605,00:00:00,1.4174,1.3931,1.4265,1.3962
EURUSD,20090608,00:00:00,1.3941,1.3803,1.4000,1.3896
EURUSD,20090609,00:00:00,1.3897,1.3850,1.4098,1.4073
EURUSD,20090610,00:00:00,1.4073,1.3914,1.4141,1.3964
EURUSD,20090611,00:00:00,1.3965,1.3942,1.4175,1.4095
EURUSD,20090612,00:00:00,1.4095,1.3935,1.4126,1.3997
EURUSD,20090615,00:00:00,1.3986,1.3754,1.4000,1.3782
EURUSD,20090616,00:00:00,1.3783,1.3747,1.3929,1.3833
EURUSD,20090617,00:00:00,1.3833,1.3805,1.3982,1.3942
EURUSD,20090618,00:00:00,1.3941,1.3870,1.3999,1.3903
EURUSD,20090619,00:00:00,1.3904,1.3881,1.4009,1.3942
EURUSD,20090622,00:00:00,1.3948,1.3825,1.3948,1.3855
EURUSD,20090623,00:00:00,1.3855,1.3827,1.4105,1.4073
EURUSD,20090624,00:00:00,1.4073,1.3887,1.4135,1.3929
EURUSD,20090625,00:00:00,1.3928,1.3888,1.4011,1.3994
EURUSD,20090626,00:00:00,1.3993,1.3981,1.4115,1.4068
EURUSD,20090629,00:00:00,1.4059,1.3981,1.4101,1.4070
EURUSD,20090630,00:00:00,1.4071,1.4000,1.4149,1.4034
EURUSD,20090701,00:00:00,1.4033,1.3999,1.4198,1.4150
EURUSD,20090702,00:00:00,1.4150,1.3927,1.4151,1.3943
EURUSD,20090703,00:00:00,1.3944,1.3942,1.4025,1.3975
EURUSD,20090706,00:00:00,1.3955,1.3876,1.3996,1.3971
EURUSD,20090707,00:00:00,1.3971,1.3902,1.4048,1.3915
EURUSD,20090708,00:00:00,1.3916,1.3830,1.3936,1.3872
EURUSD,20090709,00:00:00,1.3872,1.3857,1.4069,1.4021
EURUSD,20090710,00:00:00,1.4021,1.3877,1.4028,1.3946
EURUSD,20090713,00:00:00,1.3945,1.3895,1.3999,1.3985
EURUSD,20090714,00:00:00,1.3986,1.3910,1.4012,1.3969
EURUSD,20090715,00:00:00,1.3970,1.3961,1.4132,1.4101
EURUSD,20090716,00:00:00,1.4100,1.4054,1.4162,1.4139
EURUSD,20090717,00:00:00,1.4139,1.4061,1.4145,1.4098
EURUSD,20090720,00:00:00,1.4117,1.4108,1.4246,1.4225
EURUSD,20090721,00:00:00,1.4225,1.4162,1.4274,1.4211
EURUSD,20090722,00:00:00,1.4211,1.4155,1.4254,1.4205
EURUSD,20090723,00:00:00,1.4205,1.4118,1.4288,1.4149
EURUSD,20090724,00:00:00,1.4150,1.4134,1.4251,1.4213
EURUSD,20090727,00:00:00,1.4228,1.4170,1.4295,1.4241
EURUSD,20090728,00:00:00,1.4241,1.4129,1.4300,1.4171
EURUSD,20090729,00:00:00,1.4170,1.4006,1.4192,1.4032
EURUSD,20090730,00:00:00,1.4033,1.4007,1.4092,1.4065
EURUSD,20090731,00:00:00,1.4064,1.4062,1.4276,1.4250
EURUSD,20090803,00:00:00,1.4271,1.4205,1.4441,1.4416
EURUSD,20090804,00:00:00,1.4416,1.4365,1.4429,1.4396
EURUSD,20090805,00:00:00,1.4396,1.4354,1.4444,1.4412
EURUSD,20090806,00:00:00,1.4411,1.4327,1.4428,1.4352
EURUSD,20090807,00:00:00,1.4351,1.4153,1.4411,1.4169
EURUSD,20090810,00:00:00,1.4174,1.4102,1.4216,1.4143
EURUSD,20090811,00:00:00,1.4144,1.4108,1.4183,1.4146
EURUSD,20090812,00:00:00,1.4146,1.4085,1.4245,1.4200
EURUSD,20090813,00:00:00,1.4200,1.4199,1.4324,1.4277
EURUSD,20090814,00:00:00,1.4276,1.4158,1.4304,1.4187
EURUSD,20090817,00:00:00,1.4187,1.4044,1.4192,1.4073
EURUSD,20090818,00:00:00,1.4074,1.4066,1.4149,1.4129
EURUSD,20090819,00:00:00,1.4129,1.4082,1.4264,1.4232
EURUSD,20090820,00:00:00,1.4233,1.4198,1.4272,1.4244
EURUSD,20090821,00:00:00,1.4244,1.4207,1.4373,1.4333
EURUSD,20090824,00:00:00,1.4343,1.4279,1.4357,1.4295
EURUSD,20090825,00:00:00,1.4295,1.4251,1.4358,1.4298
EURUSD,20090826,00:00:00,1.4298,1.4205,1.4347,1.4240
EURUSD,20090827,00:00:00,1.4240,1.4217,1.4404,1.4348
EURUSD,20090828,00:00:00,1.4349,1.4279,1.4385,1.4298
EURUSD,20090831,00:00:00,1.4305,1.4254,1.4365,1.4329
